student_course_id,total_clicks,active_days,resources_accessed,is_sparse
100064_FFF_2013J,6331,195,242,False
100282_BBB_2013J,42,5,9,False
100561_DDD_2014J,950,112,95,False
100621_CCC_2014B,59,7,14,False
1006742_FFF_2014B,2359,53,113,False
100788_CCC_2014J,1235,98,78,False
100788_FFF_2013J,3061,142,168,False
1008675_BBB_2013B,1913,163,67,False
100893_AAA_2013J,744,52,47,False
101116_AAA_2014J,1769,126,64,False
101217_FFF_2013J,332,24,64,False
101217_FFF_2014J,385,36,57,False
101279_DDD_2014J,112,8,27,False
101306_FFF_2013B,861,36,101,False
101420_FFF_2013J,4762,136,232,False
101634_FFF_2014B,353,15,48,False
1017773_FFF_2014B,145,10,33,False
101781_AAA_2013J,4063,144,99,False
1018685_DDD_2013B,754,48,89,False
102028_FFF_2013J,4073,182,256,False
102067_BBB_2014J,67,9,12,False
1021350_FFF_2014J,701,37,115,False
102209_CCC_2014J,472,27,32,False
102221_DDD_2014J,1025,57,82,False
102343_FFF_2013J,3157,146,140,False
1023623_CCC_2014J,1684,73,62,False
1026777_FFF_2013B,493,15,40,False
102806_AAA_2013J,1944,177,75,False
102849_BBB_2013B,1,1,1,True
102850_DDD_2013J,1749,89,141,False
102854_FFF_2014J,4227,205,202,False
102952_AAA_2013J,1150,58,69,False
1031884_CCC_2014J,1602,90,87,False
1031884_DDD_2014B,1084,77,168,False
1033968_DDD_2014B,140,10,45,False
1033968_DDD_2014J,3,1,1,True
1034674_FFF_2013B,6250,153,265,False
103496_BBB_2014J,1180,59,95,False
1035023_AAA_2013J,1886,150,83,False
103535_BBB_2014B,381,30,46,False
103800_DDD_2013J,170,32,42,False
1038161_CCC_2014B,561,33,56,False
103891_DDD_2014J,69,6,12,False
103904_DDD_2013B,1566,97,156,False
103998_BBB_2014J,49,2,5,False
1040037_EEE_2014J,210,10,15,False
104054_BBB_2013B,1451,95,51,False
104213_FFF_2013J,1962,98,146,False
1042726_FFF_2014J,1655,37,103,False
104316_FFF_2014B,890,53,121,False
104476_AAA_2013J,4371,161,106,False
104480_CCC_2014J,203,18,17,False
1044992_DDD_2013B,1169,101,112,False
1045091_FFF_2014B,306,23,44,False
1045203_AAA_2014J,3428,168,82,False
104643_DDD_2013J,1488,104,110,False
1047645_CCC_2014B,16,5,4,True
104772_DDD_2013J,816,51,90,False
104772_DDD_2014J,249,32,28,False
1049036_DDD_2014B,1185,118,120,False
105125_FFF_2014J,545,31,42,False
105168_CCC_2014J,490,35,56,False
105168_EEE_2013J,532,25,30,False
1053702_EEE_2013J,1460,107,58,False
105413_CCC_2014J,963,68,92,False
1054876_FFF_2013B,1008,41,78,False
105523_CCC_2014B,938,104,50,False
105523_DDD_2013J,753,103,112,False
105527_BBB_2013J,993,86,43,False
105629_FFF_2013J,5565,183,224,False
1057883_CCC_2014B,556,42,47,False
105851_BBB_2013J,385,39,33,False
105883_BBB_2013J,4006,168,66,False
105939_FFF_2014J,2562,99,145,False
106095_BBB_2014J,1235,45,104,False
106247_AAA_2013J,465,33,43,False
1064492_FFF_2013J,4642,178,139,False
106553_DDD_2014J,548,64,76,False
